filename	barcode(s)
unc.edu.011453b6+AC0-9736+AC0-4ea4+AC0-8845+AC0-bbe4416783d3.1273271.junction+AF8-quantification.txt	TCGA+AC0-G9+AC0-6361+AC0-01A+AC0-
unc.edu.011453b6+AC0-9736+AC0-4ea4+AC0-8845+AC0-bbe4416783d3.1281747.rsem.genes.results	TCGA+AC0-G9+AC0-6361+AC0-01A+AC0-
unc.edu.011453b6+AC0-9736+AC0-4ea4+AC0-8845+AC0-bbe4416783d3.1281748.rsem.isoforms.results	TCGA+AC0-G9+AC0-6361+AC0-01A+AC0-
unc.edu.011453b6+AC0-9736+AC0-4ea4+AC0-8845+AC0-bbe4416783d3.1281767.rsem.isoforms.normalized+AF8-results	TCGA+AC0-G9+AC0-6361+AC0-01A+AC0-
unc.edu.011453b6+AC0-9736+AC0-4ea4+AC0-8845+AC0-bbe4416783d3.1281768.rsem.genes.normalized+AF8-results	TCGA+AC0-G9+AC0-6361+AC0-01A+AC0-
unc.edu.011453b6+AC0-9736+AC0-4ea4+AC0-8845+AC0-bbe4416783d3.1755416.bt.exon+AF8-quantification.txt	TCGA+AC0-G9+AC0-6361+AC0-01A+AC0-
unc.edu.0120b5b1+AC0-d204+AC0-429a+AC0-aa21+AC0-704fd98624ea.1339943.junction+AF8-quantification.txt	TCGA+AC0-HC+AC0-7740+AC0-11A+AC0-
unc.edu.0120b5b1+AC0-d204+AC0-429a+AC0-aa21+AC0-704fd98624ea.1347007.rsem.genes.results	TCGA+AC0-HC+AC0-7740+AC0-11A+AC0-
unc.edu.0120b5b1+AC0-d204+AC0-429a+AC0-aa21+AC0-704fd98624ea.1347008.rsem.isoforms.results	TCGA+AC0-HC+AC0-7740+AC0-11A+AC0-
unc.edu.0120b5b1+AC0-d204+AC0-429a+AC0-aa21+AC0-704fd98624ea.1347041.rsem.genes.normalized+AF8-results	TCGA+AC0-HC+AC0-7740+AC0-11A+AC0-
unc.edu.0120b5b1+AC0-d204+AC0-429a+AC0-aa21+AC0-704fd98624ea.1347046.rsem.isoforms.normalized+AF8-results	TCGA+AC0-HC+AC0-7740+AC0-11A+AC0-
unc.edu.0120b5b1+AC0-d204+AC0-429a+AC0-aa21+AC0-704fd98624ea.1755653.bt.exon+AF8-quantification.txt	TCGA+AC0-HC+AC0-7740+AC0-11A+AC0-
unc.edu.01d4c289+AC0-6d85+AC0-4119+AC0-86f5+AC0-bcf3de30d0f7.1379965.junction+AF8-quantification.txt	TCGA+AC0-EJ+AC0-5518+AC0-01A+AC0-
unc.edu.01d4c289+AC0-6d85+AC0-4119+AC0-86f5+AC0-bcf3de30d0f7.1386780.rsem.genes.results	TCGA+AC0-EJ+AC0-5518+AC0-01A+AC0-
unc.edu.01d4c289+AC0-6d85+AC0-4119+AC0-86f5+AC0-bcf3de30d0f7.1386781.rsem.isoforms.results	TCGA+AC0-EJ+AC0-5518+AC0-01A+AC0-
unc.edu.01d4c289+AC0-6d85+AC0-4119+AC0-86f5+AC0-bcf3de30d0f7.1386809.rsem.isoforms.normalized+AF8-results	TCGA+AC0-EJ+AC0-5518+AC0-01A+AC0-
unc.edu.01d4c289+AC0-6d85+AC0-4119+AC0-86f5+AC0-bcf3de30d0f7.1386810.rsem.genes.normalized+AF8-results	TCGA+AC0-EJ+AC0-5518+AC0-01A+AC0-
unc.edu.01d4c289+AC0-6d85+AC0-4119+AC0-86f5+AC0-bcf3de30d0f7.1753232.bt.exon+AF8-quantification.txt	TCGA+AC0-EJ+AC0-5518+AC0-01A+AC0-
unc.edu.02334a5d+AC0-c3a2+AC0-4ea6+AC0-8e4e+AC0-d603a8fbc43c.1281721.junction+AF8-quantification.txt	TCGA+AC0-G9+AC0-6378+AC0-01A+AC0-
unc.edu.02334a5d+AC0-c3a2+AC0-4ea6+AC0-8e4e+AC0-d603a8fbc43c.1283424.rsem.genes.results	TCGA+AC0-G9+AC0-6378+AC0-01A+AC0-
unc.edu.02334a5d+AC0-c3a2+AC0-4ea6+AC0-8e4e+AC0-d603a8fbc43c.1283425.rsem.isoforms.results	TCGA+AC0-G9+AC0-6378+AC0-01A+AC0-
unc.edu.02334a5d+AC0-c3a2+AC0-4ea6+AC0-8e4e+AC0-d603a8fbc43c.1283456.rsem.genes.normalized+AF8-results	TCGA+AC0-G9+AC0-6378+AC0-01A+AC0-
unc.edu.02334a5d+AC0-c3a2+AC0-4ea6+AC0-8e4e+AC0-d603a8fbc43c.1283459.rsem.isoforms.normalized+AF8-results	TCGA+AC0-G9+AC0-6378+AC0-01A+AC0-
unc.edu.02334a5d+AC0-c3a2+AC0-4ea6+AC0-8e4e+AC0-d603a8fbc43c.1760313.bt.exon+AF8-quantification.txt	TCGA+AC0-G9+AC0-6378+AC0-01A+AC0-
unc.edu.025caa8f+AC0-3290+AC0-488b+AC0-b7d0+AC0-aacf769a53e4.2157157.junction+AF8-quantification.txt	TCGA+AC0-KK+AC0-A6E7+AC0-01A+AC0-
